word	nodeType	unit
great	ADJ	psyExcerptCopy
intense	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
hard	ADJ	psyExcerptCopy
physi-	ADJ	psyExcerptCopy
cal	ADJ	psyExcerptCopy
emotional	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
constitutional	ADJ	psyExcerptCopy
condi-	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
mature	ADJ	psyExcerptCopy
close	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
determinate	ADJ	psyExcerptCopy
sensual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
other	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
exceptional	ADJ	psyExcerptCopy
manifesta-	ADJ	psyExcerptCopy
peripheral	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
masturba-	ADJ	psyExcerptCopy
same	ADJ	psyExcerptCopy
general	ADJ	psyExcerptCopy
focal	ADJ	psyExcerptCopy
spinal	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
cortical	ADJ	psyExcerptCopy
»	ADJ	psyExcerptCopy
advanced	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
emotional	ADJ	psyExcerptCopy
melan-	ADJ	psyExcerptCopy
big	ADJ	black_moutain
bygone	ADJ	black_moutain
bleak	ADJ	black_moutain
holy	ADJ	black_moutain
absurd	ADJ	black_moutain
plain	ADJ	black_moutain
asexual	ADJ	txt-counceling
dear	ADJ	txt-counceling
old	ADJ	txt-counceling
asexual	ADJ	txt-counceling
lovely	ADJ	txt-counceling
interesting	ADJ	txt-counceling
young	ADJ	txt-counceling
slight	ADJ	txt-counceling
gay	ADJ	txt-counceling
several	ADJ	txt-counceling
gay	ADJ	txt-counceling
reluctant	ADJ	txt-counceling
close	ADJ	txt-counceling
sure	ADJ	txt-counceling
bloodthirsty	ADJ	txt-counceling
little	ADJ	txt-counceling
additional	ADJ	txt-counceling
rich	ADJ	txt-counceling
close	ADJ	txt-counceling
bad	ADJ	Atrocity
insane	ADJ	Atrocity
altered	ADJ	Atrocity
hot	ADJ	devolution
sexual	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
venereal	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
customary	ADJ	txt-imp-malecopy
certain	ADJ	txt-imp-malecopy
great	ADJ	txt-imp-malecopy
lusty	ADJ	txt-imp-malecopy
certain	ADJ	txt-imp-malecopy
fervent	ADJ	txt-imp-malecopy
